GCAM_ID_1,Basin_na_1
1,Arctic_Ocean_Islands
2,Northwest_Territories
3,Siberia_North_Coast
4,Siberia_West_Coast
5,Kara_Sea_Coast
6,Lena
7,Pacific_and_Arctic_Coast
8,Scandinavia_North_Coast
9,Russia_Barents_Sea_Coast
10,Mackenzie
11,Iceland
12,Sweden
13,Finland
14,Northern_Dvina
15,Hudson_Bay_Coast
16,Scotland
17,Neva
18,Volga
19,Atlantic_Ocean_Seaboard
20,Baltic_Sea_Coast
21,Denmark_Germany_Coast
22,Narva
23,Saskatchewan_Nelson
24,Ireland
25,Daugava
26,England_and_Wales
27,Fraser
28,Ems_Weser
29,Oder
30,Wisla
31,Elbe
32,Rhine
33,Poland_Coast
34,Churchill
35,Neman
36,Scheldt
37,Russia_South_East_Coast
38,Ural
39,Dnieper
40,St_Lawrence
41,France_West_Coast
42,Gobi_Interior
43,Amur
44,Loire
45,Caspian_Sea_Coast
46,Seine
47,Black_Sea_North_Coast
48,Yenisey
49,Dniester
50,Italy_East_Coast
51,Japan
52,Caspian_Sea_East_Coast
53,Don
54,Danube
55,Adriatic_Sea_Greece_Black_Sea_Coast
56,Ob
57,Po
58,Amu_Darya
59,Italy_West_Coast
60,Spain_Portugal_Atlantic_Coast
61,France_South_Coast
62,Rh(ne
63,Mediterranean_Sea_Islands
64,Gironde
65,North_and_South_Korea
66,Bo_Hai_Korean_Bay_North_Coast
67,Spain_South_and_East_Coast
68,Lake_Balkash
69,Tiber
70,Black_Sea_South_Coast
71,Tagus
72,Caspian_Sea_South_West_Coast
73,Ebro
74,Douro
75,Mediterranean_Sea_East_Coast
76,Syr_Darya
77,Ziya_He_Interior
78,China_Coast
79,Huang_He
80,Mediterranean_South_Coast
81,Guadiana
82,Central_Iran
83,Guadalquivir
84,Tigris_Euphrates
85,Tarim_Interior
86,Africa_North_West_Coast
87,Nile
88,Persian_Gulf_Coast
89,Indus
90,Farahrud
91,Baja_California
92,Plateau_of_Tibet_Interior
93,Red_Sea_East_Coast
94,Arabian_Peninsula
95,Dead_Sea
96,Mexico_Northwest_Coast
97,Helmand
98,Sinai_Peninsula
99,Eastern_Jordan_Syria
100,Africa_Red_Sea_Gulf_of_Aden_Coast
101,Caribbean
102,HamuniMashkel
103,Taiwan
104,Arabian_Sea_Coast
105,North_Gulf
106,Yangtze
107,Sabarmati
108,Xun_Jiang
109,Hong_(Red_River)
110,Ganges_Bramaputra
111,Yucatan_Peninsula
112,South_China_Sea_Coast
113,Mahi
114,Mexico_Interior
115,Pacific_Central_Coast
116,Bay_of_Bengal_North_East_Coast
117,Tapti
118,Yasai
119,Philippines
120,Brahamani
121,North_Marina_Islands_and_Guam
122,Mahandi
123,Godavari
124,Hainan
125,Mekong
126,Viet_Nam_Coast
127,Salween
128,India_North_East_Coast
129,India_West_Coast
130,Papaloapan
131,Rfo_Lerma
132,Rfo_Verde
133,Grijalva_Usumacinta
134,Rfo_Balsas
135,Southern_Central_America
136,Isthmus_of_Tehuantepec
137,Irrawaddy
138,Sittang
139,Peninsula_Malaysia
140,Krishna
141,Andaman_Nicobar_Islands
142,Africa_West_Coast
143,Caribbean_Coast
144,Africa_North_Interior
145,India_East_Coast
146,Chao_Phraya
147,Pennar
148,Gulf_of_Thailand_Coast
149,Niger
150,Micronesia
151,Lake_Chad
152,Senegal
153,Cauvery
154,Sri_Lanka
155,India_South_Coast
156,Orinoco
157,Colombia_Ecuador_Pacific_Coast
158,Palau_and_East_Indonesia
159,North_Borneo_Coast
160,Volta
161,Northeast_South_America_South_Atlantic_Coast
162,Gulf_of_Guinea
163,Sumatra
164,Sulawesi
165,Kalimantan
166,Magdalena
167,Irian_Jaya_Coast
168,Amazon
169,South_Chile_Pacific_Coast
170,Shebelli_Juba
171,Africa_East_Central_Coast
172,North_Brazil_South_Atlantic_Coast
173,Papua_New_Guinea_Coast
174,Tocantins
175,Java_Timor
176,Solomon_Islands
177,Madagascar
178,Sepik
179,Rift_Valley
180,Peru_Pacific_Coast
181,Fly
182,Angola_Coast
183,Congo
184,Australia_North_Coast
185,South_Pacific_Islands
186,East_Brazil_South_Atlantic_Coast
187,Parnaiba
188,Zambezi
189,Australia_East_Coast
190,Africa_Indian_Ocean_Coast
191,Australia_West_Coast
192,Sao_Francisco
193,Australia_Interior
194,Orange
195,Uruguay_Brazil_South_Atlantic_Coast
196,Namibia_Coast
197,Africa_South_Interior
198,South_Africa_South_Coast
199,Limpopo
200,La_Puna_Region
201,New_Zealand
202,Australia_South_Coast
203,Mar_Chiquita
204,South_Africa_West_Coast
205,Salinas_Grandes
206,La_Plata
207,North_Chile_Pacific_Coast
208,Murray_Darling
209,Pampas_Region
210,North_Argentina_South_Atlantic_Coast
211,Tasmania
212,South_America_Colorado
213,Negro
214,Central_Patagonia_Highlands
215,South_Argentina_South_Atlantic_Coast
216,Antarctica
217,California_River_Basin
218,Upper_Mississippi_Basin
219,Lower_Mississippi_River_Basin
220,Upper_Colorado_River_Basin
221,Lower_Colorado_River_Basin
222,Great_Basin
223,Missouri_River_Basin
224,Arkansas_White_Red_Basin
225,Texas_Gulf_Coast_Basin
226,South_Atlantic_Gulf_Basin
227,Great_Lakes_Basin
228,Ohio_River_Basin
229,Pacific_Northwest_Basin
230,Tennessee_River_Basin
231,Rio_Grande_River_Basin
232,New_England_Basin
233,Mid_Atlantic_Basin
234,Hawaii
235,Narmada